SHOP_ID,CITY_NAME,SD00,SD01,SD02,SD03,SD04,SJ00,SJ01,SJ02,SJ03,SJ04,SJ05,SJ06,SJ07,SJ08,SJ09,SJ10,SJ11,SJ12,SJ13,SJ14,SJ15,SJ16,SE00,SF00,SG00,SG01,SG02,SG03,SC00,SH00,SH01,SI00,SI01,SI02,SI03,SI04,SI05,SI06,SI07,SI08,SI09
1,湖州,8,4,12,2,1,1,19,0.10435257720573932,6.961240310077519,22.046511627906977,15.085271317829458,15.16477830845233,0.16602275385993595,2015-10-10,-260,0.9882491319101263,1.0056632135296881,0.9490674482661126,0.9664815298856743,0.9534209686710029,0.9751885706954551,1.080946383504318,1.0883801012226062,0.9926026523150168,0.9826839826839826
2,哈尔滨,19,2.6762295081967213,3.1252927400468384,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0.114247658749101,8.343465045592705,20.94224924012158,12.598784194528875,15.509321831325158,0.44266748810658785,2015-11-25,-260,0.8741046691628166,1.2471981255127993,0.8634448561242456,0.845243025493235,0.8847644822013875,0.8741046691628166,0.9700429865099549,1.1832392472813735,1.2578579385513702,0.7008547008547008
3,南昌,5,3.0,2.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.12309553357776085,10.198529411764707,21.676470588235293,11.477941176470587,16.38192871974272,0.06364604244998895,2016-06-18,-260,0.9006622516556292,1.2251655629139073,0.8344370860927153,0.8145695364238411,0.8410596026490066,0.9006622516556292,1.0728476821192052,1.2847682119205297,1.1258278145695364,0.7351351351351352
4,天津,18,2.6762295081967213,3.1252927400468384,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0.1636638866555518,8.466666666666667,20.942857142857143,12.476190476190476,16.315445224033702,0.35878584384746876,2016-07-19,-260,0.7723207042922798,1.4269544441209743,0.7907092924897151,0.6619891751076684,0.8532304923609949,0.7649652690133057,0.8090978806871504,1.4658829474231856,1.4548497945047243,0.5412371134020618
5,杭州,2,2.0,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.13207230551199026,9.599009900990099,20.72772277227723,11.12871287128713,15.832340851072768,0.43208870040650615,2015-09-28,-260,1.14044047239068,0.6549632939674433,1.2898180657516758,1.060006383657836,1.206511330992659,1.258218959463773,0.6865624002553463,0.9422278965847432,0.7612511969358443,1.7412280701754388
6,大连,13,3.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0.15776710028959234,8.393382352941176,20.169117647058822,11.775735294117647,14.923357251803901,0.10999101819600458,2016-01-22,-260,0.9909747292418772,0.9747292418772563,1.055956678700361,0.9422382671480144,0.9422382671480144,0.9259927797833934,1.1209386281588447,1.0884476534296028,0.9584837545126353,1.0166666666666666
7,绍兴,13,3.0,9.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0.09932237721465972,5.732919254658385,22.13871635610766,16.405797101449277,14.977939484112099,0.18705291979791436,2015-06-28,-260,0.8925897599784257,1.2466619981948892,0.8640268876591161,0.8211825791801516,0.8640268876591161,0.8339821824523531,1.0496855577346287,1.178218483171522,1.249625663969796,0.7159837720816514
8,杭州,16,3.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.14331276767435483,7.75,21.98913043478261,14.23913043478261,16.195937134719614,0.13134749277669003,2016-08-01,-260,0.9273895595260286,1.0157123747189838,0.8706106069019861,0.9436974998997368,0.9021544694708986,0.9210807870122462,1.0724913273430263,1.179740460077329,1.167122915049764,0.9130434782608695
9,杭州,15,4.0,0.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0.1536946220215393,7.354223433242507,20.032697547683924,12.678474114441418,15.609426871165502,0.06509477228759065,2015-10-30,-259,0.9464571978198141,1.0849631292080795,1.0099390830394357,0.9464571978198141,0.9522282782943251,0.9060596344982367,0.9291439563962809,1.0965052901571017,1.1282462327669125,0.8723404255319149
10,孝感,10,2.6762295081967213,3.1252927400468384,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.1434925863529303,8.544715447154472,20.32520325203252,11.780487804878048,15.837116188737733,0.09034100649643537,2016-07-01,-259,1.2382550335570468,1.343959731543624,1.3892617449664428,1.087248322147651,1.0570469798657718,0.6644295302013422,0.9211409395973154,0.5738255033557046,0.7248322147651006,0.9213483146067415
11,上海,12,3.0,1.0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0.3061689365822587,10.929782082324456,19.51089588377724,8.581113801452785,14.679315389996798,0.044678537225560706,2015-08-25,-259,1.1273262631272853,0.696289750755088,1.094169608329424,1.044434626132632,1.0858804446299586,1.1984884226495343,1.2102179001219386,0.8634815608979818,0.6797114233561573,1.619047619047619
12,宁波,20,1.0,2.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.16602977808285738,11.007633587786259,20.591603053435115,9.583969465648856,16.09183899337331,0.24864495248889962,2016-02-02,-259,0.8551401869158879,1.2616822429906542,0.8551401869158879,0.6588785046728972,0.8271028037383178,1.1004672897196262,0.9322429906542057,1.2897196261682244,1.2196261682242993,0.6777777777777778
13,杭州,6,0.0,2.0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0.19943867279419383,6.146341463414634,19.726829268292683,13.580487804878048,12.080536467143686,0.017698930529828134,2016-03-30,-259,1.0691253219298442,0.8868880511463482,1.148094805936026,0.9537083837669634,0.9962304136164458,1.0691253219298442,1.0691253219298442,0.9694109341406003,0.8382914456040825,1.2054794520547945
14,深圳,7,1.0,4.0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0.17378053949003006,7.068027210884353,20.85260770975057,13.784580498866216,12.140209289466599,0.6406697046739843,2015-08-17,-259,1.0210430009149132,0.9551692589204026,1.070448307410796,1.0375114364135407,0.9881061299176578,0.889295516925892,1.0622140896614822,1.0375114364135407,0.938700823421775,1.0689655172413794
15,西安,19,2.6762295081967213,3.1252927400468384,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0.1518980973022143,8.54054054054054,20.90990990990991,12.36936936936937,16.06268507917411,0.09896623145336904,2016-07-13,-259,0.9775343220884397,1.2549785053261624,1.0013729028975578,0.9848426015397513,0.826154486674158,0.8880113715215568,0.8722645962066317,1.0513104973403975,1.1435307164053445,0.7789251512593705
16,武汉,17,3.0,3.0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0.13018376038437487,8.481481481481481,20.691358024691358,12.209876543209877,15.50455255663066,0.36734800215610297,2015-07-02,-259,0.9704248378541024,1.1409313720054512,0.9523148160762381,0.8383578435954052,0.8330610017817581,0.9326661215600118,1.1590413937833157,1.0322712413382655,1.1409313720054512,0.8505549603289073
17,厦门,15,2.0,7.0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0.11381811751899631,2.482105263157895,22.501052631578947,20.018947368421053,13.930286916108836,0.4185402170533346,2015-07-13,-259,0.9589334220949411,1.0472562372878964,0.8832281519295511,0.9336983320398111,0.9626238174410844,0.9526246495811587,1.0346386922603312,1.104035189911939,1.1229615074532864,0.9156626506024095
18,福州,7,4.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0.19224162381428656,10.477272727272727,22.079545454545453,11.602272727272727,16.379382515262435,0.09436052655613056,2016-08-04,-259,1.0048758426253905,0.9238374682201171,1.0940180544711913,0.9886681677443359,0.9724604928632812,0.9886681677443359,0.9886681677443359,1.033927795961621,1.0048758426253905,1.087719298245614
19,上海,11,3.0,5.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.14239119039332795,6.423772609819121,21.92248062015504,15.498708010335918,15.880196035571922,0.08007875517630401,2015-10-10,-259,0.8992178309129161,1.14992912205964,0.8958750136976265,0.8891893792670471,0.9025606481282057,0.9159319169893644,0.9393316374963919,1.1243226407775817,1.283641810671226,0.7819767441860465
20,广州,5,2.0,3.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0.17597463943376163,6.985981308411215,22.752336448598133,15.766355140186917,14.458709387889218,0.07319513459796317,2016-04-01,-259,1.131231971508047,0.7719088263546094,1.1367456059820085,0.9768502062371252,1.1799177774277603,1.1137541637402222,1.11269198919724,0.8160179021463014,0.7608815574066865,1.4654994642960166
21,上海,9,3.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0.13041205521548127,8.472413793103449,20.70344827586207,12.23103448275862,15.920382777386633,0.06066740049081218,2016-01-12,-259,0.8485045513654096,1.2581274382314696,0.7958387516254877,0.7841352405721717,0.8309492847854356,0.8485045513654096,1.0065019505851756,1.2581274382314696,1.3693107932379713,0.6744186046511627
22,重庆,6,2.0,3.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0.16868211702634897,7.95933014354067,20.705741626794257,12.746411483253588,15.891650577739094,0.3076797901835297,2015-08-19,-259,1.0048971596474046,0.9696376101860921,1.0137120470127325,0.960822722820764,0.9343780607247797,1.0048971596474046,1.0930460333006857,0.9960822722820765,1.0225269343780607,1.0363636363636364
23,青岛,3,3.0,0.0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0.18687355656992952,1.9057142857142857,22.14,20.234285714285715,12.45524638541363,0.04701526544696765,2015-11-13,-259,1.2450521922561728,0.46049875603995427,1.2791632112220952,1.1853579090658082,1.281657419591652,1.2962187207050566,1.274899333851355,0.5166537012279513,0.46049875603995427,2.703703703703704
24,温州,12,2.0,2.0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0.11021854171034211,9.043650793650794,21.785714285714285,12.74206349206349,16.02661391498943,0.33631718796502863,2016-02-19,-259,0.8146764733790125,1.3808075819983263,0.6599222047301074,0.7042118668191465,0.8561007008389624,0.8146764733790125,1.0079895348587782,1.3808075819983263,1.3808075819983263,0.59
25,昆明,14,3.0,9.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0.09226260983519577,1.4915966386554622,22.810924369747898,21.319327731092436,15.126588396847417,0.23866402716719212,2015-07-13,-258,0.9725416219061629,1.067681563179592,0.9069212919845625,0.9152986941645179,0.9091149943905436,0.9725416219061629,1.0571104585936553,1.1522503998670843,1.0465393540077188,0.9108910891089108
