year,month,day,hour_n,hour,holi,h_temp,h_bodytemp,h_humidity,h_pressure,h_visibility,h_wind_speed,h_gust_speed
2016,01,18,15.0,16,0,5.0,0.9,81,1025.0,1.6,21.6,39.6
2016,01,23,8.0,11,1,1.0,7.6,60,1041.0,10.0,28.8,46.8
2016,01,23,9.0,15,1,0.0,5.9,44,1038.0,10.0,25.2,46.8
2016,01,23,16.0,16,1,1.0,7.2,44,1038.0,10.0,25.2,46.8
2016,02,14,10.0,8,0,2.0,3.7,81,1028.0,10.0,28.8,46.8
2016,06,17,15.0,17,0,31.0,34.4,58,1005.0,10.0,10.8,28.8
2016,07,12,18.0,15,0,34.0,47.3,71,999.0,10.0,7.2,25.2
2016,07,27,27.0,19,0,33.0,36.9,52,1005.0,10.0,36.0,54.0
2016,08,07,16.0,18,1,32.0,40.4,70,1002.0,10.0,21.6,39.6
2016,08,10,10.0,17,0,32.0,43.9,79,1004.0,10.0,21.6,39.6
2016,08,17,11.0,12,0,35.0,44.6,59,1002.0,10.0,14.4,32.4
2016,08,28,9.0,10,1,29.0,28.6,40,1010.0,10.0,21.6,39.6
2016,07,20,1.0,12,0,30.0,36.0,74,999.0,10.0,39.6,57.6
2016,08,02,2.0,15,0,33.0,41.8,66,1002.0,10.0,14.4,32.4
2016,08,25,3.0,17,0,30.0,37.4,79,1002.0,3.0,28.8,50.4
2016,09,18,1.0,13,0,31.0,30.9,40,1012.0,10.0,10.8,36.0
2016,09,23,4.0,16,0,31.0,30.3,35,1011.0,7.0,7.2,25.2
2016,10,08,6.0,13,0,27.0,26.8,39,1017.0,10.0,21.6,39.6
2016,02,14,11.0,13,0,5.0,0.9,42,1029.0,10.0,21.6,39.6
2016,03,08,13.0,9,0,8.0,3.1,71,1017.0,10.0,43.2,61.2
2016,03,08,8.0,10,0,7.0,2.8,87,1018.0,3.0,28.8,46.8
2016,03,08,11.0,15,0,6.0,1.5,93,1017.0,4.0,28.8,46.8
2016,03,11,10.0,20,0,6.0,4.5,61,1025.0,5.0,7.2,25.2
2016,08,06,14.0,18,1,28.0,31.2,74,1003.0,10.0,18.0,36.0
2016,08,10,23.584963,16,0,34.0,41.8,59,1004.0,10.0,18.0,36.0
2016,09,12,28.584963,10,0,27.0,28.2,61,1016.0,6.0,10.8,28.8
2016,09,26,73.0,12,0,30.0,34.1,66,1011.0,10.0,14.4,32.4
2016,05,06,6.0,17,0,28.0,30.2,66,1008.0,1.5,32.4,57.6
2016,05,15,2.0,17,1,29.0,31.3,62,1008.0,10.0,28.8,50.4
2016,05,30,5.0,13,0,33.0,41.8,66,1007.0,6.0,7.2,25.2
2016,06,03,7.0,18,0,29.0,34.5,79,1002.0,4.0,14.4,32.4
2016,06,15,3.0,13,0,33.0,40.6,63,1003.0,10.0,18.0,36.0
2016,07,30,10.0,15,1,37.0,42.9,44,1004.0,10.0,10.8,28.8
2016,07,30,4.0,16,1,28.0,31.9,79,1004.0,10.0,21.6,39.6
2016,08,01,7.0,13,0,37.0,42.9,44,1000.0,10.0,21.6,43.2
2016,08,06,8.0,17,1,35.0,41.9,53,1001.0,10.0,10.8,28.8
2016,08,15,7.0,17,0,29.0,34.5,79,996.0,4.0,32.4,50.4
2016,08,28,12.0,13,1,31.0,33.7,55,1007.0,10.0,21.6,39.6
2016,08,28,8.0,14,1,30.0,32.4,58,1007.0,10.0,21.6,39.6
2016,09,14,4.0,15,0,33.0,35.2,46,1003.0,10.0,21.6,39.6
2016,09,15,11.0,12,2,34.0,36.5,44,1003.0,9.0,18.0,39.6
2016,09,15,2.0,17,2,28.0,32.7,84,1003.0,4.0,7.2,28.8
2016,09,16,17.0,13,2,33.0,36.0,49,1005.0,10.0,14.4,32.4
2016,09,17,7.0,12,2,32.0,34.1,49,1007.0,10.0,18.0,36.0
2016,10,02,12.0,15,2,32.0,35.6,55,1007.0,10.0,14.4,32.4
